state,daily_new_cases,confirmed,deaths,cured,totalsamples,positive,total_doses_administered,vaccination_rate,positivity_rate
Andaman and Nicobar Islands,2,7548,129,7412,452587,7516,310643,0.8162336007315132,1.6606751851025325
Andhra Pradesh,1461,1985182,13564,1952736,25311733,235525,23842895,0.4809255393563436,0.9304973310203613
Arunachal Pradesh,233,50605,248,47821,986281,2658,879094,0.5845039893617021,0.2694972325331219
Assam,929,576149,5420,559684,19850867,87908,12703870,0.35677973672565133,0.4428421186842872
Bihar,44,725279,9646,715352,38820518,90553,27834939,0.22303650244151588,0.23326066901013529
Chandigarh,8,61992,811,61150,629060,2305,923819,0.7974454303207757,0.3664197373859409
Chhattisgarh,112,1003356,13544,988189,11762041,19459,11769177,0.3998194266106962,0.16543897440928831
Dadra and Nagar Haveli and Daman and Diu,1,10654,4,10646,72410,3194,665221,1.1333404888952494,4.410992956773926
Delhi,52,1436852,25068,1411280,24333906,151928,10836082,0.5468901786615524,0.6243469503005394
Goa,141,172085,3164,167978,1102474,12333,1396911,0.8806373522458629,1.1186658370174716
Gujarat,21,825085,10077,814802,26192626,136004,37152375,0.5468731600329723,0.5192453784511717
Haryana,23,770114,9652,759790,11135555,275137,13010381,0.44464733424470265,2.470797369327348
Himachal Pradesh,419,208616,3537,202761,2961627,3993,5632441,0.7611406756756757,0.13482454070009492
Jammu and Kashmir,113,322771,4392,317081,12307566,31371,6808342,0.493358115942029,0.2548919908290559
Jharkhand,34,347440,5130,342102,12184347,346824,10378294,0.26890988193278387,2.846471788763074
Karnataka,1338,2921049,36848,2861499,40104915,264546,33280543,0.4813222116163369,0.6596348602160109
Kerala,21119,3586693,18004,3396184,28745545,932639,22097731,0.6189937193137719,3.2444644900627213
Ladakh,11,20411,207,20130,454086,4720,259036,0.8840819112627987,1.039450676744053
Lakshadweep,14,10263,51,10165,226724,0,68295,1.0592806291005537,0.0
Madhya Pradesh,10,791980,10514,781330,15144644,791732,35456676,0.41538315278307325,5.227801987290028
Maharashtra,5609,6363442,134201,6159676,49905065,1638961,47153366,0.3829117180754797,3.284157630092256
Manipur,633,105424,1664,96776,1136573,4765,1406118,0.4580188925081433,0.4192427587141345
Meghalaya,411,69769,1185,64157,894820,1718,1170554,0.3476848317793929,0.19199392056502984
Mizoram,863,46320,171,33722,688280,713,861719,0.6953586218694624,0.10359156157377812
Nagaland,102,28811,585,26852,280777,3558,791508,0.35182902571237434,1.267197811786578
Odisha,1041,988997,6565,972710,16683764,97920,18154686,0.39163334184277815,0.5869179161249225
Puducherry,101,121766,1800,119115,1557320,44037,753362,0.5329604638560439,2.8277425320422265
Punjab,59,599573,16322,582791,12475529,124535,10291265,0.3414331855420123,0.9982342231740233
Rajasthan,11,953851,8954,944700,13185136,67954,35383662,0.4366591117320567,0.5153833832279014
Sikkim,110,28018,356,25095,213375,910,649389,0.9408012447645856,0.4264792032806093
Tamil Nadu,1893,2579130,34367,2524400,39002757,367430,25522708,0.32788145650301403,0.9420616086191035
Telangana,494,650353,3831,638410,22991849,124963,15614892,0.44609294441492053,0.5435100065244861
Tripura,244,80660,773,77811,1630572,80413,3215294,0.771091809331588,4.931582291367692
Uttar Pradesh,19,1708812,22775,1685492,67897856,126722,54447724,0.22586149269102812,0.18663623193050455
Uttarakhand,39,342462,7368,334650,6526861,14083,6667116,0.5630584512403835,0.21576987774061682
West Bengal,639,1534999,18252,1506532,16162814,135596,32390378,0.32517422594554246,0.8389380710561911
